"ID_Empleado,Nombre,Departamento,Cargo,Fecha_Ingreso,Salario,Ciudad;;;;;;;;;"
"1114,REBECA COLOM SECO,Recursos Humanos,Analista,27/07/2019,""$3,466"",Santa Ana ;;;;;;;;;1201"
"1432,  DOMINGA DE BATALLA  ,Recursos Humanos,Supervisor,23/05/2022,""$2,748"",San Salvador;;;;;;;;;"
"1225,íngrid ferrera-quero,RH,Gerente,08/08/2018,""$1,843"",Usulutan;;;;;;;;;"
"1344,JOSEP RÍOS-JÁUREGUI,IT,Analista,15/12/2023,""$2,922"",santa ana;;;;;;;;;"
"1470,María Fernanda Martin Menendez,operacoines,Asistente,2022-02-08,""$3,024"",La Libertad;;;;;;;;;"
"1591,  GIL MARCO ALARCÓN SANZ  ,Recursos Humanos,Analista,2019-10-09,$776,La Libertad;;;;;;;;;"
"1389,GERARDO CAÑELLAS MARÍN,IT,Asistente,11/09/2018,""$1,966"",Santa Ana ;;;;;;;;;"
"1073,eutimio del alsina,RH,Gerente,22/04/2022,""$2,004"", Sonsonate;;;;;;;;;"
"1332,Liliana Pardo Vicente,Ventas,Gerente,29/09/2021,""$2,093"",santa ana;;;;;;;;;"
"1580,Eloísa Tormo,informatica,Gerente,07/04/2022,""$1,035"", Sonsonate;;;;;;;;;"
"1574,María Marín Carrasco,Marketing,Gerente,06/02/2022,""$1,932"",Usulutan;;;;;;;;;"
"1521,Patricio Piña Cabanillas,RH,Analista,27/02/2025,""$3,237"",Santa Ana ;;;;;;;;;"
"1394,Nydia Sanabria Torres,operacoines,Asistente,2019-04-04,""$3,236"",San Salvador;;;;;;;;;"
"1348,GERTRUDIS XIMENA HOYOS BELTRAN,Operaciones,Asistente,2018-07-27,""$3,407"",San Salvador;;;;;;;;;"
"1512,  Baudelio de Capdevila  ,Finanzas ,Gerente,26/09/2018,""$1,076"",San miguel;;;;;;;;;"
"1552,Victoriano Evaristo Uribe Miralles,Marketing,Asistente,25/04/2020,""$2,451"",santa ana;;;;;;;;;"
"1314,OCTAVIA SOLSONA-SARMIENTO,Marketing,Analista,2023-10-20,$800,san salvador;;;;;;;;;"
"1545,carmela mendez-dalmau,operacoines,Supervisor,2023-09-02,""$1,535"",Santa Ana ;;;;;;;;;"
"1216,María Del Carmen Quesada Gutierrez,Finanzas ,Supervisor,2020-11-15,""$3,201"",Usulutan;;;;;;;;;"
"1529,  yéssica vall higueras  ,Ventas,Analista,22/11/2019,""$2,860"",San miguel;;;;;;;;;"
"1060,AMPARO ZORRILLA,IT,Supervisor,12/03/2022,""$2,555"",san salvador;;;;;;;;;"
"1219,Elpidio Doménech,Marketing,Supervisor,2020-02-24,""$1,445"", Sonsonate;;;;;;;;;"
"1194,VALERIO ROSELL-MARTÍN,IT,Analista,12/06/2019,""$2,133"",Usulutan;;;;;;;;;"
"1100,AARÓN ROIG-MÍNGUEZ,ventaas,Supervisor,22/01/2024,""$1,234"",San miguel;;;;;;;;;"
"1143,clímaco osuna-caballero,ventaas,Analista,05/10/2024,""$2,704"", Sonsonate;;;;;;;;;"
"1095,  Ana Sofía Domínguez Ayala  ,Operaciones,Analista,2025-01-19,""$1,325"", Sonsonate;;;;;;;;;"
"1168,Ricardo Sarmiento Sanmartín,Operaciones,Supervisor,2024-04-09,""$2,182"",La Libertad;;;;;;;;;"
"1158,MÁXIMA MONREAL MADRID,Ventas,Supervisor,13/09/2020,""$1,734"",San Salvador;;;;;;;;;"
"1514,  Luz del Serra  ,operacoines,Analista,20/09/2018,""$1,211"",san salvador;;;;;;;;;"
"1240,Rosalinda Losa Blanch,Marketing,Asistente,03/06/2021,""$2,986"",San Salvador;;;;;;;;;"
"1267,GUIOMAR CABAÑAS-ROCHA,Recursos Humanos,Asistente,26/04/2019,""$2,071"",La Libertad;;;;;;;;;"
"1468,  Nayara Ruiz Huerta  ,Operaciones,Asistente,2022-11-30,$750,san salvador;;;;;;;;;"
"1135,Rico Álvaro,IT,Asistente,31/10/2022,""$1,096"",La Libertad;;;;;;;;;"
"1541,EVARISTO ROURA,Finanzas ,Analista,05/06/2023,""$1,000"",san salvador;;;;;;;;;"
"1566,NIDIA ROCAMORA,Recursos Humanos,Asistente,2018-10-09,""$1,283"",santa ana;;;;;;;;;"
"1517,Vicente Domínguez Verdejo,ventaas,Asistente,23/02/2025,""$1,583"",Usulutan;;;;;;;;;"
"1133,gertrudis pazos llabrés,operacoines,Analista,24/01/2021,""$2,747"",Usulutan;;;;;;;;;"
"1152,Herberto Cesar Castellanos Olivera,RH,Asistente,11/07/2019,$972,Usulutan;;;;;;;;;"
"1040,ambrosio bayo sanjuan,ventaas,Supervisor,2023-10-29,""$2,743"",santa ana;;;;;;;;;"
"1158,  fabio sandoval  ,RH,Asistente,18/08/2023,$551,Usulutan;;;;;;;;;"
"1421,Feliciano Neira-Galiano,Finanzas ,Analista,02/09/2020,""$3,322"",Santa Ana ;;;;;;;;;"
"1481,RAMÓN DALMAU-SASTRE,Operaciones,Gerente,2021-02-07,""$1,700"",santa ana;;;;;;;;;"
"1228,  MARCIANO DEL SEGOVIA  ,IT,Asistente,2019-03-07,$734,La Libertad;;;;;;;;;"
"1359,Segismundo del Iglesias,operacoines,Asistente,27/10/2019,$563,santa ana;;;;;;;;;"
"1182,  Dorotea Azorin Tello  ,Marketing,Asistente,2019-08-15,""$1,865"",Usulutan;;;;;;;;;"
"1446,Asunción Conesa Blanch,Marketing,Supervisor,20/03/2022,""$1,493"",San miguel;;;;;;;;;"
"1001,Godofredo del Baena,Recursos Humanos,Asistente,03/07/2020,""$2,216"",santa ana;;;;;;;;;"
"1321,alejandra collado melero,operacoines,Supervisor,13/05/2021,""$3,181"",La Libertad;;;;;;;;;"
"1302,modesta campillo zorrilla,informatica,Supervisor,2021-02-16,""$2,971"",Santa Ana ;;;;;;;;;"
"1561,Delfina Estrada-Matas,Marketing,Gerente,20/12/2018,""$2,354"",santa ana;;;;;;;;;"
"1523,Clemente Cordero Belmonte,RH,Asistente,2019-11-20,""$1,612"",san salvador;;;;;;;;;"
"1095,Bautista Vallejo Clavero,Recursos Humanos,Gerente,16/02/2023,""$1,053"",San miguel;;;;;;;;;"
"1486,Sebastián Giner-Torrens,Marketing,Supervisor,2022-08-27,""$3,392"",San miguel;;;;;;;;;"
"1409,FIDEL MEDINA-CRESPO,Ventas,Supervisor,09/12/2018,""$2,191"",san salvador;;;;;;;;;"
"1051,  Isabel Galan  ,RH,Asistente,2021-05-12,""$3,184"", Sonsonate;;;;;;;;;"
"1453,Matías Alcalde Quintero,operacoines,Supervisor,2019-08-27,""$1,101"", Sonsonate;;;;;;;;;"
"1460,REYNALDO CEPEDA BARBERO,Finanzas ,Supervisor,07/08/2023,""$3,017"", Sonsonate;;;;;;;;;"
"1079,juanita álvaro vargas,operacoines,Supervisor,24/02/2023,""$1,016"",san salvador;;;;;;;;;"
"1156,chema josé ángel boix roig,operacoines,Supervisor,14/08/2018,""$2,153"", Sonsonate;;;;;;;;;"
"1398,Ani Amorós Egea,Marketing,Asistente,01/09/2023,""$2,403"",Usulutan;;;;;;;;;"
"1305,Azeneth Pozuelo Barrio,informatica,Supervisor,01/11/2022,""$2,449"",San miguel;;;;;;;;;"
"1497,JORDÁN BARTOLOMÉ-ACEDO,informatica,Analista,2024-08-28,""$2,364"",Santa Ana ;;;;;;;;;"
"1403,  Verónica Cabo  ,informatica,Asistente,08/07/2022,""$2,341"",Santa Ana ;;;;;;;;;"
"1388,Consuela Alsina Cabañas,informatica,Analista,16/10/2023,""$2,176"",La Libertad;;;;;;;;;"
"1481,EMA GIRÓN MATEOS,IT,Analista,02/10/2019,""$3,112"",San miguel;;;;;;;;;"
"1031,  clemente barberá peinado  ,RH,Analista,26/06/2021,$967,San miguel;;;;;;;;;"
"1577,Narciso Pagès Cadenas,IT,Analista,2019-10-01,""$2,931"",Santa Ana ;;;;;;;;;"
"1167,  vanesa espada seguí  ,Finanzas ,Gerente,2019-05-17,""$2,074"",Usulutan;;;;;;;;;"
"1077,Roque Losada Ramis,Finanzas ,Asistente,2021-02-14,""$2,768"",san salvador;;;;;;;;;"
"1545,Maite Pujol Galan,IT,Analista,2022-01-26,""$2,170"",San Salvador;;;;;;;;;"
"1443,Josefina Hernandez Bertrán,RH,Asistente,2020-12-02,""$1,171"",Usulutan;;;;;;;;;"
"1551,Bartolomé Hoyos Jerez,Marketing,Analista,2022-02-04,""$1,770"",La Libertad;;;;;;;;;"
"1285,graciano de aroca,Marketing,Asistente,28/03/2020,""$1,827"",Usulutan;;;;;;;;;"
"1186,Ángeles Ángeles Contreras Céspedes,Finanzas ,Gerente,25/05/2020,""$2,726"",La Libertad;;;;;;;;;"
"1087,PALOMA ESTRELLA MOYA JUAN,operacoines,Supervisor,04/04/2024,""$3,278"",San miguel;;;;;;;;;"
"1458,adriana carrión niño,Recursos Humanos,Supervisor,2021-04-07,""$3,169"",La Libertad;;;;;;;;;"
"1566,Mario Luz,IT,Asistente,16/10/2022,""$3,328"",santa ana;;;;;;;;;"
"1257,ADÁN SALVADOR,IT,Gerente,2022-11-28,""$3,492"",san salvador;;;;;;;;;"
"1196,GOYO ARENAS-PEDRERO,Marketing,Asistente,2019-09-01,$861,La Libertad;;;;;;;;;"
"1232,Agapito Ballester,RH,Asistente,2020-07-19,$636,La Libertad;;;;;;;;;"
"1129,  Bárbara Bárcena Moreno  ,Ventas,Asistente,31/05/2025,""$2,372"",La Libertad;;;;;;;;;"
"1188,pilar francisco bárcena,ventaas,Analista,18/11/2022,""$2,091"",san salvador;;;;;;;;;"
"1155,JOAQUINA BORRÁS AVILÉS,Finanzas ,Supervisor,25/07/2019,""$1,466"",san salvador;;;;;;;;;"
"1231,Leticia Hoz Velasco,Finanzas ,Analista,2022-09-12,""$1,700"",Usulutan;;;;;;;;;"
"1101,anselma cañas heras,ventaas,Analista,06/02/2024,""$1,432"",Santa Ana ;;;;;;;;;"
"1160,TEÓFILA LUMBRERAS ROCA,Marketing,Asistente,07/09/2023,""$1,642"", Sonsonate;;;;;;;;;"
"1289,Agapito de Posada,Finanzas ,Gerente,10/10/2018,""$2,191"",San miguel;;;;;;;;;"
"1152,  Rómulo Infante Villaverde  ,RH,Asistente,2022-12-07,""$2,887"",La Libertad;;;;;;;;;"
"1449,ROGELIO BERNARDO CATALÁN PAZ,informatica,Supervisor,2019-08-07,""$2,499"",La Libertad;;;;;;;;;"
"1082,Severiano Cabezas,Marketing,Analista,08/09/2020,$555,La Libertad;;;;;;;;;"
"1275,  Alberto Arnal  ,operacoines,Supervisor,28/11/2020,""$1,589"", Sonsonate;;;;;;;;;"
"1503,Alcides del Gimenez,IT,Supervisor,21/03/2021,""$1,108"",san salvador;;;;;;;;;"
"1295,Purificación Andres Pellicer,Ventas,Asistente,02/04/2020,$810, Sonsonate;;;;;;;;;"
"1118,Ángela Ramón Diez,Ventas,Asistente,27/08/2022,""$2,142"", Sonsonate;;;;;;;;;"
"1510,Flor del Chaves,operacoines,Supervisor,05/10/2018,""$1,629"",Santa Ana ;;;;;;;;;"
"1124,CUSTODIA VALERA MANUEL,Recursos Humanos,Supervisor,2021-06-17,""$1,722"",Santa Ana ;;;;;;;;;"
"1095,NANDO CALATAYUD RODRIGO,ventaas,Gerente,2020-06-22,$931, Sonsonate;;;;;;;;;"
"1510,maximiano jiménez,informatica,Gerente,26/04/2019,""$2,384"", Sonsonate;;;;;;;;;"
"1392,JUDITH OLGA PEIRÓ LANDA,RH,Supervisor,2022-05-26,""$1,581"",san salvador;;;;;;;;;"
"1348,Hector Garmendia Mata,Finanzas ,Supervisor,2024-06-30,""$2,854"",La Libertad;;;;;;;;;"
"1152,Jaime de Solano,operacoines,Gerente,2024-06-15,""$2,315"",Usulutan;;;;;;;;;"
"1244,ascensión tur valcárcel,Ventas,Supervisor,05/01/2019,""$3,500"",santa ana;;;;;;;;;"
"1395,Jose Antonio Vera Conde,RH,Asistente,28/02/2019,$601, Sonsonate;;;;;;;;;"
"1102,Hugo Torre Roldan,Operaciones,Gerente,05/12/2023,""$3,409"",San Salvador;;;;;;;;;"
"1076,Primitiva Aznar-Teruel,informatica,Supervisor,2023-12-29,""$1,795"",san salvador;;;;;;;;;"
"1324,Pío Varela Bejarano,operacoines,Asistente,03/12/2018,""$2,979"",San Salvador;;;;;;;;;"
"1232,  María Teresa Clavero Coloma  ,ventaas,Analista,2021-10-15,""$1,131"", Sonsonate;;;;;;;;;"
"1047,virginia río-valencia,informatica,Gerente,2024-01-11,""$1,450"",Santa Ana ;;;;;;;;;"
"1174,FLAVIA CALDERON AGUADO,informatica,Gerente,2021-06-07,""$2,488"",San miguel;;;;;;;;;"
"1237,mohamed garriga,Ventas,Gerente,2018-10-24,""$1,628"", Sonsonate;;;;;;;;;"
"1075,Aitor Palomares Jódar,informatica,Gerente,2019-03-18,""$2,321"",La Libertad;;;;;;;;;"
"1393,victoria bienvenida tapia murillo,IT,Supervisor,15/05/2024,""$3,314"",La Libertad;;;;;;;;;"
"1281,HERBERTO DEL RICART,Ventas,Gerente,2020-01-27,""$1,622"", Sonsonate;;;;;;;;;"
"1360,  MARTÍN GARGALLO ELÍAS  ,Finanzas ,Analista,23/05/2022,""$3,023"",Santa Ana ;;;;;;;;;"
"1316,manu ferreras linares,RH,Supervisor,20/08/2021,""$1,658"",san salvador;;;;;;;;;"
"1179,TORIBIO HERRANZ BENITEZ,IT,Supervisor,03/01/2022,""$1,123"",La Libertad;;;;;;;;;"
"1302,  Isaura Canales Losa  ,ventaas,Supervisor,2021-02-04,""$1,374"",Santa Ana ;;;;;;;;;"
"1570,  Patricia Conesa Flores  ,operacoines,Asistente,11/07/2024,""$2,312"",san salvador;;;;;;;;;"
"1598,Teófilo Acevedo Pacheco,Recursos Humanos,Asistente,2019-09-27,$552, Sonsonate;;;;;;;;;"
"1226,Hortensia Mendizábal Rodrigo,Finanzas ,Analista,18/11/2023,$927,Usulutan;;;;;;;;;"
